"eV", "A"
0.3655, 1.9476
0.3695, 1.9474
0.3736, 1.9473
0.3776, 1.9472
0.3817, 1.9471
0.3857, 1.9468
0.3897, 1.9468
0.3938, 1.9466
0.3978, 1.9466
0.4019, 1.9464
0.3978, 1.9466
0.3938, 1.9138
0.3978, 1.9136
0.3978, 1.8807
0.4019, 1.8477
0.4059, 1.8146
0.41, 1.7816
0.41, 1.7487
0.414, 1.7156
0.4181, 1.6825
0.4221, 1.6824
0.4221, 1.6495
0.4262, 1.6494
0.4302, 1.6493
0.4342, 1.6821
0.4342, 1.7149
0.4383, 1.7149
0.4383, 1.7478
0.4423, 1.7477
0.4423, 1.7147
0.4383, 1.7149
0.4342, 1.6821
0.4302, 1.6822
0.4262, 1.6494
0.4221, 1.6166
0.4181, 1.6167
0.4181, 1.5838
0.4221, 1.5836
0.4262, 1.6165
0.4302, 1.6493
0.4302, 1.6822
0.4342, 1.7149
0.4383, 1.7478
0.4383, 1.7807
0.4382, 1.8136
0.4423, 1.8464
0.4423, 1.8794
0.4423, 1.9123
0.4423, 1.9452
0.4463, 1.978
0.4463, 2.0109
0.4463, 2.0438
0.4463, 2.0768
0.4463, 2.1097
0.4463, 2.1426
0.4463, 2.1755
0.4503, 2.2083
0.4503, 2.2412
0.4503, 2.2742
0.4503, 2.3071
0.4543, 2.3399
0.4543, 2.3728
0.4543, 2.4057
0.4583, 2.4385
0.4583, 2.4715
0.4583, 2.5044
0.4583, 2.5373
0.4583, 2.5702
0.4583, 2.6031
0.4583, 2.636
0.4583, 2.669
0.4583, 2.7019
0.4583, 2.7348
0.4583, 2.7677
0.4623, 2.8005
0.4623, 2.8335
0.4623, 2.8664
0.4663, 2.8992
0.4663, 2.9321
0.4663, 2.9649
0.4663, 2.998
0.4663, 3.0309
0.4663, 3.0638
0.4663, 3.0967
0.4663, 3.1296
0.4703, 3.1623
0.4703, 3.1954
0.4703, 3.2283
0.4703, 3.2612
0.4703, 3.2941
0.4703, 3.327
0.4703, 3.3599
0.4743, 3.3928
0.4743, 3.4257
0.4743, 3.4586
0.4743, 3.4915
0.4743, 3.5245
0.4784, 3.5573
0.4784, 3.5901
0.4783, 3.6231
0.4824, 3.6559
0.4824, 3.6888
0.4824, 3.7217
0.4824, 3.7547
0.4824, 3.7875
0.4864, 3.8204
0.4864, 3.8533
0.4864, 3.8862
0.4904, 3.919
0.4904, 3.9519
0.4904, 3.9849
0.4944, 4.0177
0.4944, 4.0506
0.4985, 4.0834
0.5025, 4.1162
0.5025, 4.1491
0.5065, 4.1819
0.5106, 4.2147
0.5146, 4.2146
0.5146, 4.1816
0.5187, 4.1815
0.5227, 4.1485
0.5187, 4.1486
0.5227, 4.1156
0.5268, 4.0825
0.5268, 4.0496
0.5308, 4.0165
0.5349, 3.9835
0.5389, 3.9504
0.5429, 3.9174
0.5429, 3.8845
0.543, 3.8516
0.543, 3.8186
0.547, 3.7856
0.551, 3.7854
0.5551, 3.7524
0.5551, 3.7195
0.5551, 3.6865
0.5551, 3.6536
0.5551, 3.6207
0.5592, 3.5877
0.5632, 3.5546
0.5673, 3.5215
0.5673, 3.4887
0.5713, 3.4556
0.5753, 3.4226
0.5794, 3.3895
0.5834, 3.3565
0.5875, 3.3234
0.5915, 3.3233
0.5956, 3.2903
0.5996, 3.2572
0.6037, 3.257
0.6077, 3.257
0.6117, 3.2568
0.6158, 3.2567
0.6198, 3.2237
0.6239, 3.2235
0.6279, 3.2234
0.6319, 3.2233
0.636, 3.2232
0.64, 3.223
0.6441, 3.2229
0.6481, 3.2557
0.6521, 3.2556
0.6562, 3.2884
0.6602, 3.3212
0.6643, 3.354
0.6683, 3.3868
0.6723, 3.3867
0.6764, 3.4195
0.6804, 3.4523
0.6844, 3.4521
0.6885, 3.452
0.6925, 3.4848
0.6966, 3.4847
0.7006, 3.4845
0.7046, 3.4844
0.7086, 3.5171
0.7127, 3.5171
0.7167, 3.517
0.7208, 3.5497
0.7248, 3.5495
0.7288, 3.5824
0.7328, 3.5823
0.7368, 3.6151
0.741, 3.615
0.745, 3.6149
0.749, 3.6477
0.753, 3.6475
0.757, 3.6474
0.7612, 3.6473
0.7652, 3.6472
0.7692, 3.647
0.7732, 3.6469
0.7772, 3.6468
0.7814, 3.6467
0.7854, 3.6465
0.7894, 3.6463
0.7934, 3.6792
0.7974, 3.6791
0.8016, 3.679
0.8056, 3.6787
0.8096, 3.6787
0.8136, 3.6785
0.8176, 3.6785
0.8218, 3.7113
0.8258, 3.7441
0.8298, 3.7439
0.8338, 3.7767
0.8378, 3.7766
0.842, 3.8094
0.846, 3.8422
0.85, 3.875
0.854, 3.8749
0.858, 3.9077
0.862, 3.9405
0.8662, 3.9733
0.8702, 4.0061
0.8702, 4.039
0.8742, 4.0718
0.8782, 4.1046
0.8782, 4.1375
0.8822, 4.1703
0.8862, 4.2031
0.8862, 4.236
0.8904, 4.2359
0.8904, 4.2688
0.8904, 4.3017
0.8944, 4.3345
0.8984, 4.3673
0.8984, 4.4003
0.8984, 4.4332
0.9024, 4.466
0.9024, 4.4989
0.9064, 4.5316
0.9064, 4.5646
0.9104, 4.5974
0.9104, 4.6303
0.9144, 4.6631
0.9144, 4.6961
0.9186, 4.7288
0.9226, 4.7616
0.9226, 4.7946
0.9266, 4.8274
0.9266, 4.8603
0.9306, 4.8931
0.9346, 4.9259
0.9346, 4.9588
0.9386, 4.9916
0.9386, 5.0245
0.9428, 5.0244
0.9468, 5.0572
0.9508, 5.0571
0.9548, 5.0899
0.9588, 5.0897
0.9628, 5.0896
0.967, 5.1224
0.971, 5.1223
0.975, 5.1222
0.979, 5.1219
0.983, 5.1219
0.9872, 5.0889
0.9912, 5.0887
0.9952, 5.0886
0.9992, 5.0556
1.0034, 5.0555
1.0074, 5.0553
1.0114, 5.0552
1.0155, 5.0551
1.0195, 5.055
1.0236, 5.0548
1.0276, 5.0547
1.0316, 5.0546
1.0357, 5.0215
1.0397, 5.0214
1.0438, 5.0213
1.0478, 5.0212
1.0518, 5.021
1.0559, 5.0209
1.0599, 5.0208
1.064, 5.0207
1.068, 5.0205
1.0721, 5.0204
1.0761, 5.0203
1.0801, 5.0202
1.0842, 5.02
1.0882, 5.0199
1.0923, 5.0198
1.0963, 5.0197
1.1003, 5.0195
1.1044, 5.0194
1.1084, 5.0522
1.1124, 5.0521
1.1165, 5.052
1.1205, 5.0518
1.1246, 5.0846
1.1286, 5.0845
1.1286, 5.1174
1.1326, 5.1173
1.1367, 5.1501
1.1407, 5.15
1.1448, 5.1499
1.1488, 5.1827
1.1528, 5.1825
1.1569, 5.2153
1.1609, 5.2481
1.1649, 5.248
1.169, 5.2479
1.173, 5.2477
